DateBought,PricePaid,Quantity,StockSymbol
2022-11-28,176.75,2,JNJ
2020-02-18,125.83,2,PG
2023-04-13,150.93,5,PG
2020-09-24,137.59,5,GD
2023-06-13,136.51,5,IBM
2021-12-02,112.93,6,PII
2020-03-16,83.22,5,CINF
2020-03-17,79.97,2,CINF
2020-09-24,58.61,10,MGRC
2022-03-14,58.95,1,UHT
2022-07-29,53.58,8,UHT
2022-06-30,52.96,10,UHT
2020-04-13,50.51,20,EMR
2020-09-24,45.72,15,ADM
2022-02-14,48.99,4,WBA
2022-02-14,47.5,1,WBA
2020-06-29,42.39,10,WBA
2020-04-13,38.67,24,NFG
2021-12-02,41.65,14,LEG
2022-10-04,35.22,17,LEG
2021-03-17,41.34,15,UGI
2020-09-24,32.06,20,UGI
2020-04-13,38.81,12,NUE
2020-03-16,31.75,14,NUE
2020-10-29,34.46,14,AFL
2020-09-24,30.91,15,THFF
2020-09-24,20.31,10,EBTC
2020-09-24,19.41,30,BEN
2020-09-24,18.77,65,TDS
2020-10-05,18.1,44,TDS
2020-04-13,16.84,30,ORI
2020-09-24,15.35,10,MDU
2020-09-24,15.31,20,MDU
2023-06-26,151.0,6,CVX
2023-06-26,102.0,9,XOM
2023-06-26,66.54,18,WPC
2023-06-26,213.96,2,LOW
2023-06-26,87.25,11,MDT
2023-06-26,165.3,4,JNJ
2023-06-26,220.16,6,ALB
2023-08-16,26.55,18,EPD
2023-08-16,161.42,1,CVX
2023-09-18,106.95,3,PII
2020-06-29,19.24,11,HP
2023-01-30,242.46,2,MSFT
2020-03-16,28.26,17,NC
2020-09-24,18.37,35,NC
2020-10-05,18.36,54,NC
2020-10-05,18.36,54,NC
2020-10-05,17.93,33,PSBQ
2020-04-13,6.37,106,SKT
2022-06-30,20.78,10,T
2020-03-16,20.99,25,WEYS
2023-10-23,143.03,2,JKHY
